F100|AC100|2026-08-12T09:30:02.912098300|2026-08-12T16:45:02.912098300|500.0|AL1|Acme Air|AC|AP1|John F Kennedy|New York|NYC|AP2|Heathrow|London|LON
F200|AC200|2026-08-13T12:15:02.921148100|2026-08-13T18:20:02.921148100|420.0|AL1|Acme Air|AC|AP3|Dublin Airport|Dublin|DUB|AP2|Heathrow|London|LON
F400|GW400|2026-08-15T18:45:02.928342600|2026-08-15T08:00:02.928342600|780.0|AL3|Gulf Wings|GW|AP1|John F Kennedy|New York|NYC|AP6|Dubai International|Dubai|DXB
F650|GW650|2026-08-17T15:35:02.940413200|2026-08-17T01:10:02.940413200|690.0|AL3|Gulf Wings|GW|AP11|John F Kennedy|New York|NYC|AP6|Dubai International|Dubai|DXB
F750|AC750|2026-08-18T09:00:02.946312900|2026-08-18T11:40:02.946312900|470.0|AL1|Acme Air|AC|AP7|Jinnah International|Karachi|KHI|AP9|Hamad International|Doha|DOH
F800|GW800|2026-08-19T13:10:02.949717600|2026-08-19T17:25:02.949717600|480.0|AL3|Gulf Wings|GW|AP8|Islamabad International|Islamabad|ISB|AP10|Frankfurt Airport|Frankfurt|FRA
F900|AC900|2026-08-20T20:05:02.953705900|2026-08-20T10:30:02.953705900|640.0|AL1|Acme Air|AC|AP1|John F Kennedy|New York|NYC|AP6|Dubai International|Dubai|DXB
F953|AC951|2026-08-25T09:30|2026-08-25T13:45|620.0|ALX|Airline Admin|AX|AP7|Jinnah International|Karachi|KHI|AP2|Heathrow|London|LON
F500|SJ500|2026-08-16T14:20:17.557968800|2026-08-16T22:35:17.557968800|460.0|AL2|SkyJet|SJ|AP5|San Francisco|San Francisco|SFO|AP2|Heathrow|London|LON
F550|GW550|2026-08-16T21:15:17.565028200|2026-08-16T23:55:17.565028200|520.0|AL3|Gulf Wings|GW|AP7|Jinnah International|Karachi|KHI|AP2|Heathrow|London|LON
F300|SJ300|2026-08-14T07:00:15.245868700|2026-08-14T11:10:15.245868700|610.0|AL2|SkyJet|SJ|AP4|Los Angeles|Los Angeles|LAX|AP5|San Francisco|San Francisco|SFO
F950|AC950|2026-08-25T09:30|2026-08-25T13:45|620.0|ALX|Airline Admin|AX|AP7|Jinnah International|Karachi|KHI|AP2|Heathrow|London|LON
F951|AC951|2026-08-25T09:30|2026-08-25T13:45|620.0|ALX|Airline Admin|AX|APGENKHANEWAL|KHANEWAL Airport|KHANEWAL|KHANEWAL|APGENDIR|DIR Airport|DIR|DIR
